# Example files (used in generateExamples):
# example_braille_file = RustTestData/Nemeth.brls
# example_mathml_file = RustTestData/Nemeth.mmls
#
# Input files:
# input_braille_file = test_data/Nemeth
# input_mathml_file = test_data/MathML
#
# Configuration variables:
# braille_code = Nemeth
# gen_braille = False
# model = gemini-2.5-pro
# apiKeyName = GEMINI_API_KEY
# batch_size = 50
# n_examples = 0
# chunk = slice(0, 2160)
#
# instructions = 
# You are an expert Braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth Braille characters.  Here are two examples: '⠠⠑⠀⠨⠅⠀⠍⠉⠘⠆' and  '⠎⠊⠝⠀⠷⠨⠹⠾'. Your task is to translate each exact Braille sequence of characters into valid MathML code. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Add '|next-item|' between each MathML output. Below are some examples of braille/MathML pairs separated by '|' that should be considered the ground truth:
# 
#
# 150 items. Usage info: prompt=6770, candidates=9071, total=116684, time=54234ms, TPS=5978.833645684048.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✗ | ⠤⠹⠨⠏⠌⠆⠼⠀⠐⠅⠱⠀⠞⠀⠐⠅⠱⠀⠹⠨⠏⠌⠆⠼ | <math><mrow><mo>−</mo><mfrac><mi>π</mi><mn>2</mn></mfrac><mo>≤</mo><mi>t</mi><mo>≤</mo><mfrac><mi>π</mi><mn>2</mn></mfrac></mrow></math> | <math><mrow><mo>&minus;</mo><mfrac><mrow><mn>9</mn><mi>&pi;</mi></mrow><mrow><mn>2</mn></mrow></mfrac><mo>&lt;</mo><mi>t</mi><mo>&lt;</mo><mfrac><mrow><mn>9</mn><mi>&pi;</mi></mrow><mrow><mn>2</mn></mrow></mfrac></mrow></math>
✗ | ⠁⠗⠉⠎⠊⠝⠀⠷⠹⠂⠌⠆⠼⠾⠠ | <math><mrow><mi>arcsin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mrow><mi>arcsin</mi><mo>(</mo><mfrac><mrow><mn>91</mn></mrow><mrow><mn>2</mn></mrow></mfrac><mo>)</mo><mo>&prime;</mo></mrow></math>
✗ | ⠁⠗⠉⠎⠊⠝⠀⠷⠹⠜⠒⠻⠌⠆⠼⠾⠸⠲ | <math><mrow><mi>arcsin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mfrac><msqrt><mn>3</mn></msqrt><mn>2</mn></mfrac><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>arcsin</mi><mo>(</mo><mfrac><mrow><msqrt><mn>2</mn></msqrt></mrow><mrow><mn>2</mn></mrow></mfrac><mo>)</mo></mrow></math>
✓ | ⠞⠁⠝⠀⠷⠁⠗⠉⠎⠊⠝⠀⠷⠤⠹⠜⠆⠻⠌⠆⠼⠾⠾ | <math><mrow><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>arcsin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mo>−</mo><mfrac><msqrt><mn>2</mn></msqrt><mn>2</mn></mfrac><mo stretchy="false">)</mo><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>tan</mi><mo>(</mo><mi>arcsin</mi><mo>(</mo><mo>&minus;</mo><mfrac><mrow><msqrt><mn>2</mn></msqrt></mrow><mrow><mn>2</mn></mrow></mfrac><mo>)</mo><mo>)</mo></mrow></math>
✗ | ⠠⠙⠷⠂⠆⠴⠾⠀⠨⠅⠀⠼⠶⠴⠸⠲ | <math><mrow><mi>D</mi><mo stretchy="false">(</mo><mn>120</mn><mo stretchy="false">)</mo><mo>=</mo><mn>70</mn><mtext>.</mtext></mrow></math> | <math><mrow><mi>D</mi><mo>(</mo><mn>124</mn><mo>)</mo><mo>=</mo><mn>64</mn></mrow></math>
✗ | ⠈⠷⠴⠠⠀⠠⠿⠾⠸⠲ | <math><mrow><mo stretchy="false">[</mo><mn>0</mn><mo>,</mo><mi mathvariant="normal">∞</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mo>(</mo><mn>4.</mn><mo>)</mo><mo>(</mo><mo>.</mo><mo>)</mo></mrow></math>
✗ | ⠰⠠⠋⠀⠿ | <math><mrow><mi>F</mi><mtext>?</mtext></mrow></math> | <math><mrow><msup><mi>F</mi><mo>&prime;</mo></msup><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✗ | ⠞⠀⠨⠅⠀⠼⠶⠀⠿ | <math><mrow><mi>t</mi><mo>=</mo><mn>7</mn><mtext>?</mtext></mrow></math> | <math><mrow><mi>t</mi><mo>=</mo><mn>6</mn><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✗ | ⠼⠒⠨⠴ | <math><mn>3.0</mn></math> | <math><mrow><mn>3.4</mn></mrow></math>
✗ | ⠼⠶⠨⠴ | <math><mn>7.0</mn></math> | <math><mrow><mn>6.4</mn></mrow></math>
✗ | ⠉⠕⠎⠀⠷⠨⠃⠾⠀⠿ | <math><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>β</mi><mo stretchy="false">)</mo><mtext>?</mtext></mrow></math> | <math><mrow><mi>cos</mi><mo>(</mo><mi>B</mi><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✗ | ⠛⠷⠆⠾⠀⠨⠅⠀⠼⠲⠠ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mn>2</mn><mo stretchy="false">)</mo><mo>=</mo><mn>4</mn><mtext>,</mtext></mrow></math> | <math><mrow><mi>g</mi><mo>(</mo><mn>2</mn><mo>)</mo><mo>=</mo><mn>4.</mn></mrow></math>
✗ | ⠞⠤⠂⠀⠨⠅⠀⠜⠤⠢⠷⠽⠤⠒⠾⠻⠀⠕⠗⠀⠞⠤⠂⠀⠨⠅⠀⠤⠜⠤⠢⠷⠽⠤⠒⠾⠻⠸⠲ | <math><mrow><mi>t</mi><mo>−</mo><mn>1</mn><mo>=</mo><msqrt><mo>−</mo><mn>5</mn><mo stretchy="false">(</mo><mi>y</mi><mo>−</mo><mn>3</mn><mo stretchy="false">)</mo></msqrt><mtext> </mtext><mtext> or </mtext><mtext> </mtext><mi>t</mi><mo>−</mo><mn>1</mn><mo>=</mo><mo>−</mo><msqrt><mo>−</mo><mn>5</mn><mo stretchy="false">(</mo><mi>y</mi><mo>−</mo><mn>3</mn><mo stretchy="false">)</mo></msqrt><mtext>.</mtext></mrow></math> | <math><mrow><mi>t</mi><mo>&minus;</mo><mn>1</mn><mo>=</mo><msqrt><mo>&minus;</mo><mn>1</mn><mo>(</mo><mi>y</mi><mo>&minus;</mo><mn>2</mn><mo>)</mo></msqrt><mspace width="1em"></mspace><mi>or</mi><mspace width="1em"></mspace><mi>t</mi><mo>&minus;</mo><mn>1</mn><mo>=</mo><mo>&minus;</mo><msqrt><mo>&minus;</mo><mn>1</mn><mo>(</mo><mi>y</mi><mo>&minus;</mo><mn>2</mn><mo>)</mo></msqrt></mrow></math>
✓ | ⠛⠘⠤⠂⠐⠷⠠⠉⠾⠀⠨⠅ | <math><mrow><msup><mi>g</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mn>1</mn></mrow></msup><mo stretchy="false">(</mo><mi>C</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mrow><msup><mi>g</mi><mrow><mo>&minus;</mo><mn>1</mn></mrow></msup><mo>(</mo><mi>C</mi><mo>)</mo><mo>=</mo></mrow></math>
✗ | ⠗⠀⠨⠅⠀⠹⠂⠌⠆⠼⠓⠠ | <math><mrow><mi>r</mi><mo>=</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mi>h</mi><mtext>,</mtext></mrow></math> | <math><mrow><mi>r</mi><mo>=</mo><mfrac><mrow><mn>91</mn></mrow><mrow><mn>2</mn></mrow></mfrac><mi>h</mi><mo>&prime;</mo></mrow></math>
✗ | ⠳⠭⠳ | <math><mrow><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo></mrow></math> | <math><mrow><msup><mi>x</mi><mn>2</mn></msup></mrow></math>
✗ | ⠞⠴ | <math><msub><mi>t</mi><mn>0</mn></msub></math> | <math><mrow><msub><mi>t</mi><mn>4</mn></msub></mrow></math>
✓ | ⠞⠂ | <math><msub><mi>t</mi><mn>1</mn></msub></math> | <math><mrow><msub><mi>t</mi><mn>1</mn></msub></mrow></math>
✗ | ⠨⠃⠀⠨⠅⠀⠹⠒⠨⠏⠌⠲⠼⠸⠲ | <math><mrow><mi>β</mi><mo>=</mo><mfrac><mrow><mn>3</mn><mi>π</mi></mrow><mn>4</mn></mfrac><mtext>.</mtext></mrow></math> | <math><mrow><mi>B</mi><mo>=</mo><mfrac><mrow><mn>3</mn><mi>&pi;</mi></mrow><mrow><mn>4</mn></mrow></mfrac></mrow></math>
✗ | ⠹⠆⠨⠏⠌⠒⠼⠸⠲ | <math><mrow><mfrac><mrow><mn>2</mn><mi>π</mi></mrow><mn>3</mn></mfrac><mtext>.</mtext></mrow></math> | <math><mrow><mfrac><mrow><mn>2</mn><mi>&pi;</mi></mrow><mrow><mn>3</mn></mrow></mfrac></mrow></math>
✗ | ⠹⠨⠏⠌⠒⠼⠠ | <math><mrow><mfrac><mi>π</mi><mn>3</mn></mfrac><mtext>,</mtext></mrow></math> | <math><mrow><mfrac><mrow><mi>&pi;</mi></mrow><mrow><mn>3</mn></mrow></mfrac><mo>&prime;</mo></mrow></math>
✗ | ⠹⠆⠨⠏⠌⠒⠼⠠ | <math><mrow><mfrac><mrow><mn>2</mn><mi>π</mi></mrow><mn>3</mn></mfrac><mtext>,</mtext></mrow></math> | <math><mrow><mfrac><mrow><mn>2</mn><mi>&pi;</mi></mrow><mrow><mn>3</mn></mrow></mfrac><mo>&prime;</mo></mrow></math>
✗ | ⠠⠧⠀⠨⠅⠀⠹⠨⠏⠌⠂⠆⠼⠓⠘⠒⠠ | <math><mrow><mi>V</mi><mo>=</mo><mfrac><mi>π</mi><mn>12</mn></mfrac><msup><mi>h</mi><mn>3</mn></msup><mtext>,</mtext></mrow></math> | <math><mrow><mi>V</mi><mo>=</mo><mfrac><mrow><mi>&pi;</mi></mrow><mrow><mn>12</mn></mrow></mfrac><msup><mi>h</mi><mn>2</mn></msup><mo>&prime;</mo></mrow></math>
✗ | ⠓⠘⠒⠀⠨⠅⠀⠹⠂⠆⠌⠨⠏⠼⠠⠧⠠ | <math><mrow><msup><mi>h</mi><mn>3</mn></msup><mo>=</mo><mfrac><mn>12</mn><mi>π</mi></mfrac><mi>V</mi><mtext>,</mtext></mrow></math> | <math><mrow><msup><mi>h</mi><mn>2</mn></msup><mo>=</mo><mfrac><mrow><mn>12</mn></mrow><mrow><mi>&pi;</mi></mrow></mfrac><mi>V</mi><mo>&prime;</mo></mrow></math>
✗ | ⠼⠴⠨⠴⠂⠀⠐⠅⠱⠀⠠⠍⠀⠐⠅⠱⠀⠼⠂⠴⠸⠆ | <math><mrow><mn>0.01</mn><mo>≤</mo><mi>M</mi><mo>≤</mo><mn>10</mn><mtext>;</mtext></mrow></math> | <math><mrow><mn>4.41</mn><mo>&lt;</mo><mi>M</mi><mo>&lt;</mo><mn>14.6</mn></mrow></math>
✗ | ⠈⠷⠴⠠⠀⠆⠈⠾⠠ | <math><mrow><mo stretchy="false">[</mo><mn>0</mn><mo>,</mo><mn>2</mn><mo stretchy="false">]</mo><mtext>,</mtext></mrow></math> | <math><mrow><mo>(</mo><mn>4.</mn><mo>)</mo><mo>(</mo><mn>2.</mn><mo>)</mo><mo>&prime;</mo></mrow></math>
✗ | ⠠⠝⠷⠞⠾⠀⠨⠅⠀⠹⠠⠇⠌⠂⠬⠠⠁⠃⠘⠤⠅⠞⠐⠼⠸⠲ | <math><mrow><mi>N</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mi>L</mi><mrow><mn>1</mn><mo>+</mo><mi>A</mi><msup><mi>b</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mi>k</mi><mi>t</mi></mrow></msup></mrow></mfrac><mtext>.</mtext></mrow></math> | <math><mrow><mi>N</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mfrac><mrow><mi>L</mi></mrow><mrow><mn>1</mn><mo>+</mo><mi>A</mi><msup><mi>b</mi><mrow><mo>&minus;</mo><mi>k</mi><mi>t</mi></mrow></msup></mrow></mfrac></mrow></math>
✓ | ⠠⠁⠷⠞⠾⠀⠨⠅⠀⠁⠑⠘⠤⠅⠞⠐⠬⠉ | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>e</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mi>k</mi><mi>t</mi></mrow></msup><mo>+</mo><mi>c</mi></mrow></math> | <math><mrow><mi>A</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>e</mi><mrow><mo>&minus;</mo><mi>k</mi><mi>t</mi></mrow></msup><mo>+</mo><mi>c</mi></mrow></math>
✗ | ⠽⠀⠨⠅⠀⠏⠷⠭⠾⠀⠨⠅⠀⠼⠒⠭⠤⠲ | <math><mrow><mi>y</mi><mo>=</mo><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><mi>x</mi><mo>−</mo><mn>4</mn></mrow></math> | <math><mrow><mi>y</mi><mo>=</mo><mi>P</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>2</mn><mi>x</mi><mo>&minus;</mo><mn>4</mn></mrow></math>
✗ | ⠭⠀⠨⠅⠀⠟⠷⠞⠾⠀⠨⠅⠀⠞⠘⠆⠐⠤⠂⠸⠲ | <math><mrow><mi>x</mi><mo>=</mo><mi>q</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>t</mi><mn>2</mn></msup><mo>−</mo><mn>1</mn><mtext>.</mtext></mrow></math> | <math><mrow><mi>x</mi><mo>=</mo><mi>q</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><msup><mi>t</mi><mn>2</mn></msup><mo>&minus;</mo><mn>1</mn></mrow></math>
✗ | ⠓⠀⠌⠨⠅⠀⠼⠴⠠ | <math><mrow><mi>h</mi><mo>≠</mo><mn>0</mn><mtext>,</mtext></mrow></math> | <math><mrow><mfrac><mrow><mi>h</mi></mrow><mrow><mi>k</mi></mrow></mfrac><mo>=</mo><mn>4.</mn></mrow></math>
✗ | ⠰⠋⠸⠒ | <math><mrow><mi>f</mi><mtext>:</mtext></mrow></math> | <math><mrow><msub><mi>f</mi><mn>3</mn></msub></mrow></math>
✗ | ⠹⠒⠌⠶⠼ | <math><mfrac><mn>3</mn><mn>7</mn></mfrac></math> | <math><mrow><mfrac><mrow><mn>3</mn></mrow><mrow><mn>6</mn></mrow></mfrac></mrow></math>
✓ | ⠠⠉⠀⠨⠅⠀⠠⠇⠷⠞⠾ | <math><mrow><mi>C</mi><mo>=</mo><mi>L</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>C</mi><mo>=</mo><mi>L</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow></math>
✓ | ⠼⠂⠖⠨⠆⠀⠅⠍⠘⠆ | <math><mrow><mn>16.2</mn><mtext> </mtext><msup><mtext>km</mtext><mn>2</mn></msup></mrow></math> | <math><mrow><mn>16.2</mn><mspace width="1em"></mspace><msup><mi>km</mi><mn>2</mn></msup></mrow></math>
✓ | ⠠⠁⠀⠨⠅⠀⠋⠷⠠⠗⠾⠸⠲ | <math><mrow><mi>A</mi><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>R</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mi>A</mi><mo>=</mo><mrow><mi>f</mi><mo>(</mo><mi>R</mi><mo>)</mo></mrow><mo>.</mo></math>
✓ | ⠽⠀⠨⠅⠀⠍⠷⠭⠾⠀⠨⠅⠀⠎⠷⠭⠤⠆⠾⠤⠂⠸⠲ | <math><mrow><mi>y</mi><mo>=</mo><mi>m</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mo>−</mo><mn>1</mn><mtext>.</mtext></mrow></math> | <math><mi>y</mi><mo>=</mo><mrow><mi>m</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><mrow><mi>s</mi><mo>(</mo><mrow><mi>x</mi><mo>-</mo><mn>2</mn></mrow><mo>)</mo></mrow><mo>-</mo><mn>1</mn></mrow><mo>.</mo></math>
✗ | ⠰⠺⠸⠲ | <math><mrow><mi>w</mi><mtext>.</mtext></mrow></math> | <math><mi>&omega;</mi><mo>.</mo></math>
✓ | ⠷⠭⠠⠀⠤⠽⠾⠠ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>,</mo><mo>−</mo><mi>y</mi><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mrow><mo>(</mo><mrow><mi>x</mi><mo>,</mo><mo>-</mo><mi>y</mi></mrow><mo>)</mo></mrow><mo>,</mo></math>
✗ | ⠽⠀⠨⠅⠀⠛⠷⠭⠾⠀⠨⠅⠀⠼⠒⠗⠷⠭⠾ | <math><mrow><mi>y</mi><mo>=</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>y</mi><mo>=</mo><mrow><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><mn>2</mn><mi>r</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✓ | ⠼⠆⠗⠷⠭⠬⠂⠾⠤⠂⠀⠌⠨⠅⠀⠼⠆⠈⠷⠗⠷⠭⠬⠂⠾⠤⠂⠈⠾⠸⠲ | <math><mrow><mn>2</mn><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>1</mn><mo stretchy="false">)</mo><mo>−</mo><mn>1</mn><mo>≠</mo><mn>2</mn><mo stretchy="false">[</mo><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>1</mn><mo stretchy="false">)</mo><mo>−</mo><mn>1</mn><mo stretchy="false">]</mo><mtext>.</mtext></mrow></math> | <math><mrow><mn>2</mn><mi>r</mi><mo>(</mo><mrow><mi>x</mi><mo>+</mo><mn>1</mn></mrow><mo>)</mo><mo>-</mo><mn>1</mn></mrow><mo>&ne;</mo><mrow><mn>2</mn><mo>[</mo><mrow><mi>r</mi><mo>(</mo><mrow><mi>x</mi><mo>+</mo><mn>1</mn></mrow><mo>)</mo><mo>-</mo><mn>1</mn></mrow><mo>]</mo></mrow><mo>.</mo></math>
✓ | ⠅⠷⠆⠾ | <math><mrow><mi>k</mi><mo stretchy="false">(</mo><mn>2</mn><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>k</mi><mo>(</mo><mn>2</mn><mo>)</mo></mrow></math>
✗ | ⠷⠔⠠⠀⠲⠾⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mn>9</mn><mo>,</mo><mn>4</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mo>(</mo><mrow><mn>4</mn><mo>,</mo><mo>.</mo></mrow><mo>)</mo></mrow><mo>.</mo></math>
✗ | ⠋⠷⠭⠾⠤⠢ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>−</mo><mn>5</mn></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>-</mo><mn>8</mn></mrow></math>
✓ | ⠇⠝⠀⠷⠽⠾ | <math><mrow><mi>ln</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>y</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>ln</mi><mo>(</mo><mi>y</mi><mo>)</mo></mrow></math>
✓ | ⠑⠘⠇⠝⠀⠷⠽⠾ | <math><msup><mi>e</mi><mrow data-mjx-texclass="ORD"><mi>ln</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>y</mi><mo stretchy="false">)</mo></mrow></msup></math> | <math><msup><mi>e</mi><mrow><mi>ln</mi><mo>(</mo><mi>y</mi><mo>)</mo></mrow></msup></math>
