# Example files (used in generateExamples):
# example_braille_file = RustTestData/UEB.brls
# example_mathml_file = RustTestData/UEB.mmls
#
# Input files:
# input_braille_file = test_data/UEB
# input_mathml_file = test_data/MathML
#
# Configuration variables:
# braille_code = UEB
# gen_braille = True
# model = gemini-2.5-pro
# apiKeyName = GEMINI_API_KEY
# batch_size = 50
# n_examples = 0
# chunk = slice(0, 2160)
#
# instructions = 
# You are an expert Braille translator specializing in UEB braille. The user will provide a python list of strings, where each string is composed of represents math encoded in MathML (e.g., <math><mi>f</mi><mrow><mo>(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>)</mo></mrow></math>). Your task is to translate each MathML expression into valid UEB braille using only Unicode braille characters. For each MathML input, output ONLY the raw Unicode braille characters. (e.g., '⠋⠷⠹⠂⠌⠆⠼⠾')It is important to pay attention to generating Unicode braille spaces when needed in the braille. It is also important to pay attention when to generate grade 1 indicators ⠰, grade 1 word indicators ⠰⠰, and grade 1 passage indicators ⠰⠰⠰ when appropriate. These are very common at the start of the translation.Do not include markdown formatting, explanations, or any other text.Add '|next-item|' between each braille output. Below are some examples of braille/MathML pairs separated by '|' that should be considered the ground truth:
# 
#
# 300 items. Usage info: prompt=25358, candidates=15377, total=158959, time=86263ms, TPS=5609.871886583859.2f
#
# Match | Test Input | Expected | Computed
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | ⠋⠐⠣⠭⠐⠜ | ⠰⠋⠷⠰⠭⠾
✗ | <math><mrow><mo stretchy="false">[</mo><mn>0</mn><mo>,</mo><mi>π</mi><mo stretchy="false">]</mo><mtext>.</mtext></mrow></math> | ⠨⠣⠼⠚⠂⠀⠨⠏⠨⠜⠲ | ⠨⠷⠼⠚⠂⠀⠨⠏⠨⠾⠲
✗ | <math><mrow><mi>t</mi><mo>=</mo><mi>arccos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>y</mi><mo stretchy="false">)</mo></mrow></math> | ⠰⠞⠀⠐⠶⠀⠜⠉⠉⠕⠎⠐⠣⠽⠐⠜ | ⠰⠞⠀⠨⠅⠀⠁⠗⠉⠉⠕⠎⠷⠰⠽⠾
✗ | <math><mrow><mi>t</mi><mo>=</mo><mi>arccos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>y</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠰⠞⠀⠐⠶⠀⠜⠉⠉⠕⠎⠐⠣⠽⠐⠜⠲ | ⠰⠞⠀⠨⠅⠀⠁⠗⠉⠉⠕⠎⠷⠰⠽⠾⠲
✗ | <math><mrow><mi>arccos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo stretchy="false">)</mo></mrow></math> | ⠜⠉⠉⠕⠎⠐⠣⠼⠁⠌⠃⠐⠜ | ⠁⠗⠉⠉⠕⠎⠷⠹⠂⠌⠆⠼⠾
✗ | <math><mrow><mo>−</mo><mfrac><mi>π</mi><mn>2</mn></mfrac><mo>≤</mo><mi>t</mi><mo>≤</mo><mfrac><mi>π</mi><mn>2</mn></mfrac></mrow></math> | ⠰⠰⠰⠐⠤⠷⠨⠏⠨⠌⠼⠃⠾⠀⠸⠈⠣⠀⠞⠀⠸⠈⠣⠀⠷⠨⠏⠨⠌⠼⠃⠾⠰⠄ | ⠤⠹⠨⠏⠌⠆⠼⠀⠐⠅⠀⠰⠞⠀⠐⠅⠀⠹⠨⠏⠌⠆⠼
✗ | <math><mrow><mi>arcsin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | ⠜⠉⠎⠔⠐⠣⠼⠁⠌⠃⠐⠜⠂⠀ | ⠁⠗⠉⠎⠊⠝⠷⠹⠂⠌⠆⠼⠾⠂
✗ | <math><mrow><mi>arcsin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mfrac><msqrt><mn>3</mn></msqrt><mn>2</mn></mfrac><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠰⠰⠁⠗⠉⠎⠊⠝⠐⠣⠷⠩⠼⠉⠬⠨⠌⠼⠃⠾⠐⠜⠲ | ⠁⠗⠉⠎⠊⠝⠷⠹⠜⠒⠣⠌⠆⠼⠾⠲
✗ | <math><mrow><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>arcsin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mo>−</mo><mfrac><msqrt><mn>2</mn></msqrt><mn>2</mn></mfrac><mo stretchy="false">)</mo><mo stretchy="false">)</mo></mrow></math> | ⠰⠰⠞⠁⠝⠐⠣⠁⠗⠉⠎⠊⠝⠐⠣⠐⠤⠷⠩⠼⠃⠬⠨⠌⠼⠃⠾⠐⠜⠐⠜ | ⠞⠁⠝⠷⠁⠗⠉⠎⠊⠝⠷⠤⠹⠜⠆⠣⠌⠆⠼⠾⠾
✗ | <math><mrow><mi>D</mi><mo stretchy="false">(</mo><mn>120</mn><mo stretchy="false">)</mo><mo>=</mo><mn>70</mn><mtext>.</mtext></mrow></math> | ⠠⠙⠐⠣⠼⠁⠃⠚⠐⠜⠀⠐⠶⠀⠼⠛⠚⠲ | ⠠⠙⠷⠼⠁⠃⠚⠾⠀⠨⠅⠀⠼⠛⠚⠲
✗ | <math><mrow><mo stretchy="false">[</mo><mn>0</mn><mo>,</mo><mi mathvariant="normal">∞</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠨⠣⠼⠚⠂⠀⠼⠿⠐⠜⠲ | ⠨⠷⠼⠚⠂⠀⠼⠿⠾⠲
✗ | <math><mrow><mi>F</mi><mtext>?</mtext></mrow></math> | ⠠⠋⠰⠦ | ⠠⠋⠦
✗ | <math><mrow><mi>t</mi><mo>=</mo><mn>7</mn><mtext>?</mtext></mrow></math> | ⠰⠞⠀⠐⠶⠀⠼⠛⠦ | ⠰⠞⠀⠨⠅⠀⠼⠛⠦
✓ | <math><mn>3.0</mn></math> | ⠼⠉⠲⠚ | ⠼⠉⠲⠚
✓ | <math><mn>7.0</mn></math> | ⠼⠛⠲⠚ | ⠼⠛⠲⠚
✗ | <math><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>β</mi><mo stretchy="false">)</mo><mtext>?</mtext></mrow></math> | ⠰⠰⠉⠕⠎⠐⠣⠨⠃⠐⠜⠦ | ⠉⠕⠎⠷⠨⠃⠾⠦
✗ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mn>2</mn><mo stretchy="false">)</mo><mo>=</mo><mn>4</mn><mtext>,</mtext></mrow></math> | ⠛⠐⠣⠼⠃⠐⠜⠀⠐⠶⠀⠼⠙⠂⠀ | ⠰⠛⠷⠼⠃⠾⠀⠨⠅⠀⠼⠙⠂
✗ | <math><mrow><mi>t</mi><mo>−</mo><mn>1</mn><mo>=</mo><msqrt><mo>−</mo><mn>5</mn><mo stretchy="false">(</mo><mi>y</mi><mo>−</mo><mn>3</mn><mo stretchy="false">)</mo></msqrt><mtext> </mtext><mtext> or </mtext><mtext> </mtext><mi>t</mi><mo>−</mo><mn>1</mn><mo>=</mo><mo>−</mo><msqrt><mo>−</mo><mn>5</mn><mo stretchy="false">(</mo><mi>y</mi><mo>−</mo><mn>3</mn><mo stretchy="false">)</mo></msqrt><mtext>.</mtext></mrow></math> | ⠰⠰⠰⠞⠐⠤⠼⠁⠀⠐⠶⠀⠩⠐⠤⠼⠑⠐⠣⠽⠐⠤⠼⠉⠐⠜⠬⠀⠕⠗⠀⠞⠐⠤⠼⠁⠀⠐⠶⠀⠐⠤⠩⠐⠤⠼⠑⠐⠣⠽⠐⠤⠼⠉⠐⠜⠬⠲⠰⠄ | ⠰⠞⠤⠼⠁⠀⠨⠅⠀⠜⠤⠼⠑⠷⠰⠽⠤⠼⠉⠾⠣⠀⠕⠗⠀⠰⠞⠤⠼⠁⠀⠨⠅⠀⠤⠜⠤⠼⠑⠷⠰⠽⠤⠼⠉⠾⠣⠲
✗ | <math><mrow><msup><mi>g</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mn>1</mn></mrow></msup><mo stretchy="false">(</mo><mi>C</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | ⠰⠰⠛⠔⠣⠐⠤⠼⠁⠜⠐⠣⠠⠉⠐⠜⠀⠐⠶ | ⠛⠘⠤⠂⠷⠠⠉⠾⠀⠨⠅
✗ | <math><mrow><mi>r</mi><mo>=</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mi>h</mi><mtext>,</mtext></mrow></math> | ⠰⠗⠀⠐⠶⠀⠼⠁⠌⠃⠰⠓⠂⠀ | ⠰⠗⠀⠨⠅⠀⠹⠂⠌⠆⠼⠰⠓⠂
✗ | <math><mrow><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo></mrow></math> | ⠸⠳⠭⠸⠳ | ⠳⠰⠭⠳
✗ | <math><msub><mi>t</mi><mn>0</mn></msub></math> | ⠞⠰⠢⠼⠚ | ⠞⠂⠚
✗ | <math><msub><mi>t</mi><mn>1</mn></msub></math> | ⠞⠰⠢⠼⠁ | ⠞⠂⠁
✗ | <math><mrow><mi>β</mi><mo>=</mo><mfrac><mrow><mn>3</mn><mi>π</mi></mrow><mn>4</mn></mfrac><mtext>.</mtext></mrow></math> | ⠨⠃⠀⠐⠶⠀⠰⠷⠼⠉⠨⠏⠨⠌⠼⠙⠾⠲ | ⠨⠃⠀⠨⠅⠀⠹⠒⠨⠏⠌⠲⠼⠲
✗ | <math><mrow><mfrac><mrow><mn>2</mn><mi>π</mi></mrow><mn>3</mn></mfrac><mtext>.</mtext></mrow></math> | ⠰⠷⠼⠃⠨⠏⠨⠌⠼⠉⠾⠲ | ⠹⠆⠨⠏⠌⠒⠼⠲
✗ | <math><mrow><mfrac><mi>π</mi><mn>3</mn></mfrac><mtext>,</mtext></mrow></math> | ⠰⠰⠷⠨⠏⠨⠌⠼⠉⠾⠂⠀ | ⠹⠨⠏⠌⠒⠼⠂
✗ | <math><mrow><mfrac><mrow><mn>2</mn><mi>π</mi></mrow><mn>3</mn></mfrac><mtext>,</mtext></mrow></math> | ⠰⠷⠼⠃⠨⠏⠨⠌⠼⠉⠾⠂⠀ | ⠹⠆⠨⠏⠌⠒⠼⠂
✗ | <math><mrow><mi>V</mi><mo>=</mo><mfrac><mi>π</mi><mn>12</mn></mfrac><msup><mi>h</mi><mn>3</mn></msup><mtext>,</mtext></mrow></math> | ⠰⠰⠰⠠⠧⠀⠐⠶⠀⠷⠨⠏⠨⠌⠼⠁⠃⠾⠓⠔⠼⠉⠂⠀⠰⠄ | ⠠⠧⠀⠨⠅⠀⠹⠨⠏⠌⠂⠆⠼⠓⠘⠒⠂
✗ | <math><mrow><msup><mi>h</mi><mn>3</mn></msup><mo>=</mo><mfrac><mn>12</mn><mi>π</mi></mfrac><mi>V</mi><mtext>,</mtext></mrow></math> | ⠰⠰⠰⠓⠔⠼⠉⠀⠐⠶⠀⠷⠼⠁⠃⠨⠌⠨⠏⠾⠠⠧⠂⠀⠰⠄ | ⠓⠘⠒⠀⠨⠅⠀⠹⠂⠆⠌⠨⠏⠼⠠⠧⠂
✗ | <math><mrow><mn>0.01</mn><mo>≤</mo><mi>M</mi><mo>≤</mo><mn>10</mn><mtext>;</mtext></mrow></math> | ⠼⠚⠲⠚⠁⠀⠸⠈⠣⠀⠰⠠⠍⠀⠸⠈⠣⠀⠼⠁⠚⠆ | ⠼⠚⠲⠚⠁⠀⠐⠅⠀⠠⠍⠀⠐⠅⠀⠼⠁⠚⠆
✗ | <math><mrow><mo stretchy="false">[</mo><mn>0</mn><mo>,</mo><mn>2</mn><mo stretchy="false">]</mo><mtext>,</mtext></mrow></math> | ⠨⠣⠼⠚⠂⠀⠼⠃⠨⠜⠂⠀ | ⠨⠷⠼⠚⠂⠀⠼⠃⠨⠾⠂
✗ | <math><mrow><mi>N</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mi>L</mi><mrow><mn>1</mn><mo>+</mo><mi>A</mi><msup><mi>b</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mi>k</mi><mi>t</mi></mrow></msup></mrow></mfrac><mtext>.</mtext></mrow></math> | ⠠⠝⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠰⠷⠠⠇⠨⠌⠼⠁⠐⠖⠠⠁⠃⠔⠣⠐⠤⠅⠞⠜⠾⠲ | ⠠⠝⠷⠰⠞⠾⠀⠨⠅⠀⠹⠠⠇⠌⠂⠖⠠⠁⠃⠘⠤⠅⠞⠼⠲
✗ | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>e</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mi>k</mi><mi>t</mi></mrow></msup><mo>+</mo><mi>c</mi></mrow></math> | ⠠⠁⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠰⠁⠑⠔⠣⠐⠤⠅⠞⠜⠐⠖⠉ | ⠠⠁⠷⠰⠞⠾⠀⠨⠅⠀⠁⠑⠘⠤⠅⠞⠐⠖⠰⠉
✗ | <math><mrow><mi>y</mi><mo>=</mo><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><mi>x</mi><mo>−</mo><mn>4</mn></mrow></math> | ⠰⠽⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠉⠭⠐⠤⠼⠙ | ⠰⠽⠀⠨⠅⠀⠰⠏⠷⠰⠭⠾⠀⠨⠅⠀⠼⠉⠭⠤⠼⠙
✗ | <math><mrow><mi>x</mi><mo>=</mo><mi>q</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>t</mi><mn>2</mn></msup><mo>−</mo><mn>1</mn><mtext>.</mtext></mrow></math> | ⠰⠰⠰⠭⠀⠐⠶⠀⠟⠐⠣⠞⠐⠜⠀⠐⠶⠀⠞⠔⠼⠃⠐⠤⠼⠁⠲⠰⠄ | ⠰⠭⠀⠨⠅⠀⠰⠟⠷⠰⠞⠾⠀⠨⠅⠀⠞⠘⠆⠐⠤⠼⠁⠲
✗ | <math><mrow><mi>h</mi><mo>≠</mo><mn>0</mn><mtext>,</mtext></mrow></math> | ⠰⠓⠀⠐⠶⠈⠱⠀⠼⠚⠂⠀ | ⠰⠓⠀⠐⠶⠀⠼⠚⠂
✗ | <math><mrow><mi>f</mi><mtext>:</mtext></mrow></math> | ⠋⠰⠒ | ⠰⠋⠒
✗ | <math><mfrac><mn>3</mn><mn>7</mn></mfrac></math> | ⠼⠉⠌⠛ | ⠹⠒⠌⠛⠼
✗ | <math><mrow><mi>C</mi><mo>=</mo><mi>L</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | ⠰⠠⠉⠀⠐⠶⠀⠠⠇⠐⠣⠞⠐⠜ | ⠠⠉⠀⠨⠅⠀⠠⠇⠷⠰⠞⠾
✗ | <math><mrow><mn>16.2</mn><mtext> </mtext><msup><mtext>km</mtext><mn>2</mn></msup></mrow></math> | ⠼⠁⠋⠲⠃⠀⠅⠍⠰⠔⠼⠃ | ⠼⠁⠋⠲⠃⠀⠅⠍⠘⠆
✗ | <math><mrow><mi>A</mi><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>R</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠠⠁⠀⠐⠶⠀⠋⠐⠣⠠⠗⠐⠜⠲ | ⠠⠁ ⠨⠅ ⠋⠷⠠⠗⠾⠲
✗ | <math><mrow><mi>y</mi><mo>=</mo><mi>m</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mo>−</mo><mn>1</mn><mtext>.</mtext></mrow></math> | ⠰⠽⠀⠐⠶⠀⠍⠐⠣⠭⠐⠜⠀⠐⠶⠀⠎⠐⠣⠭⠐⠤⠼⠃⠐⠜⠐⠤⠼⠁⠲ | ⠽ ⠨⠅ ⠍⠷⠭⠾ ⠨⠅ ⠎⠷⠭⠤⠼⠃⠾⠤⠼⠁⠲
✓ | <math><mrow><mi>w</mi><mtext>.</mtext></mrow></math> | ⠰⠺⠲ | ⠰⠺⠲
✗ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>,</mo><mo>−</mo><mi>y</mi><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | ⠐⠣⠰⠭⠂⠀⠐⠤⠽⠐⠜⠂⠀ | ⠷⠭⠂⠤⠽⠾⠂
✗ | <math><mrow><mi>y</mi><mo>=</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | ⠰⠽⠀⠐⠶⠀⠛⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠉⠗⠐⠣⠭⠐⠜ | ⠽ ⠨⠅ ⠛⠷⠭⠾ ⠨⠅ ⠼⠉⠗⠷⠭⠾
✗ | <math><mrow><mn>2</mn><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>1</mn><mo stretchy="false">)</mo><mo>−</mo><mn>1</mn><mo>≠</mo><mn>2</mn><mo stretchy="false">[</mo><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>1</mn><mo stretchy="false">)</mo><mo>−</mo><mn>1</mn><mo stretchy="false">]</mo><mtext>.</mtext></mrow></math> | ⠼⠃⠗⠐⠣⠭⠐⠖⠼⠁⠐⠜⠐⠤⠼⠁⠀⠐⠶⠈⠱⠀⠼⠃⠨⠣⠗⠐⠣⠭⠐⠖⠼⠁⠐⠜⠐⠤⠼⠁⠨⠜⠲ | ⠼⠃⠗⠷⠭⠬⠼⠁⠾⠤⠼⠁ ⠨⠅⠌ ⠼⠃⠨⠷⠗⠷⠭⠬⠼⠁⠾⠤⠼⠁⠨⠾⠲
✗ | <math><mrow><mi>k</mi><mo stretchy="false">(</mo><mn>2</mn><mo stretchy="false">)</mo></mrow></math> | ⠅⠐⠣⠼⠃⠐⠜ | ⠅⠷⠼⠃⠾
✗ | <math><mrow><mo stretchy="false">(</mo><mn>9</mn><mo>,</mo><mn>4</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠐⠣⠼⠊⠂⠀⠼⠙⠐⠜⠲ | ⠷⠼⠊⠂⠼⠙⠾⠲
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>−</mo><mn>5</mn></mrow></math> | ⠋⠐⠣⠭⠐⠜⠐⠤⠼⠑ | ⠋⠷⠭⠾⠤⠼⠑
✗ | <math><mrow><mi>ln</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>y</mi><mo stretchy="false">)</mo></mrow></math> | ⠇⠝⠐⠣⠽⠐⠜ | ⠇⠝⠷⠽⠾
✗ | <math><msup><mi>e</mi><mrow data-mjx-texclass="ORD"><mi>ln</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>y</mi><mo stretchy="false">)</mo></mrow></msup></math> | ⠰⠰⠑⠔⠣⠇⠝⠐⠣⠽⠐⠜⠜ | ⠰⠑⠘⠣⠇⠝⠷⠽⠾⠜
✗ | <math><mrow><msup><mi>e</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mn>2</mn></mrow></msup><mo>≈</mo><mn>0.135</mn></mrow></math> | ⠰⠰⠑⠔⠣⠐⠤⠼⠃⠜⠀⠘⠔⠀⠼⠚⠲⠁⠉⠑ | ⠰⠑⠘⠤⠼⠃ ⠨⠎ ⠼⠚⠲⠁⠉⠑
✗ | <math><mrow><mi>y</mi><mo>=</mo><mn>0</mn><mtext>;</mtext></mrow></math> | ⠰⠽⠀⠐⠶⠀⠼⠚⠆ | ⠽ ⠨⠅ ⠼⠚⠆
✗ | <math><mrow><mo stretchy="false">[</mo><mn>0.1</mn><mo>,</mo><mn>0.2</mn><mo stretchy="false">]</mo></mrow></math> | ⠨⠣⠼⠚⠲⠁⠂⠀⠼⠚⠲⠃⠨⠜ | ⠨⠷⠼⠚⠲⠁⠂⠼⠚⠲⠃⠨⠾
✗ | <math><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mfrac><msqrt><mn>3</mn></msqrt><mn>2</mn></mfrac></mrow></math> | ⠉⠕⠎⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠰⠐⠤⠷⠩⠼⠉⠬⠨⠌⠼⠃⠾ | ⠉⠕⠎⠷⠞⠾ ⠨⠅ ⠤⠹⠜⠼⠉⠻⠌⠼⠃⠼
✗ | <math><mrow><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></mfrac><mtext>.</mtext></mrow></math> | ⠞⠁⠝⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠰⠷⠎⠊⠝⠐⠣⠞⠐⠜⠨⠌⠉⠕⠎⠐⠣⠞⠐⠜⠾⠲ | ⠞⠁⠝⠷⠞⠾ ⠨⠅ ⠹⠎⠊⠝⠷⠞⠾⠌⠉⠕⠎⠷⠞⠾⠼⠲
✗ | <math><mrow><munder><mo data-mjx-texclass="OP" movablelimits="true">lim</mo><mrow data-mjx-texclass="ORD"><mi>x</mi><mo accent="false" stretchy="false">→</mo><msup><mn>0</mn><mo>+</mo></msup></mrow></munder><mfrac><mn>1</mn><msup><mi>x</mi><mn>2</mn></msup></mfrac><mo>=</mo><mi mathvariant="normal">∞</mi></mrow></math> | ⠰⠰⠇⠊⠍⠨⠢⠣⠭⠳⠕⠼⠚⠔⠐⠖⠜⠷⠼⠁⠨⠌⠭⠔⠼⠃⠾⠀⠐⠶⠀⠼⠿ | ⠇⠊⠍⠰⠣⠭⠳⠼⠚⠘⠬⠜ ⠹⠼⠁⠌⠭⠘⠼⠃⠼ ⠨⠅ ⠼⠿
